,zipcode,population,pop_density_sq_mile,housing_units,median_home_price,land_area_sq_mile,water_area_sq_mile,occupied_housing_units,median_household_income,median_age,race_per_white,race_per_black_or_aframr,race_per_native_american,race_per_asian,race_per_pacific_islander,race_per_other,race_per_two_or_more,housing_per_owned_w_mortgage,housing_per_owned_free_clear,housing_per_renter_occupied,housing_per_vacant,vacant_per_for_rent,vacant_per_rented_unoccupied,vacant_per_for_sale,vacant_per_sold_unoccupied,vacant_per_seasonal_recreational,vacant_per_migrant_workers,vacant_per_others,edu_per_less_than_hs,edu_per_hs,edu_per_associates,edu_per_bachelors,edu_per_masters,edu_per_professional,edu_per_phd,child_edu_per_enrolled_public,child_edu_per_enrolled_private,child_edu_per_not_enrolled
10,80012,"46,665","6,010","19,634","$163,300",7.76,0.00,"18,115","$40,989",33,51.4&percnt,22.0&percnt,1.0&percnt,4.8&percnt,0.3&percnt,15.1&percnt,5.3&percnt,37&percnt,9&percnt,47&percnt,8&percnt,49&percnt,2&percnt,16&percnt,2&percnt,2&percnt,0&percnt,30&percnt,15.7&percnt,54.6&percnt,7.3&percnt,15.4&percnt,4.8&percnt,1.6&percnt,0.5&percnt,79.8&percnt,5.6&percnt,14.6&percnt
11,80011,"47,461","1,925","17,531","$130,600",24.65,0.07,"16,223","$40,748",31,51.7&percnt,18.4&percnt,1.2&percnt,3.7&percnt,0.5&percnt,19.5&percnt,5.1&percnt,37&percnt,12&percnt,43&percnt,7&percnt,52&percnt,2&percnt,21&percnt,1&percnt,2&percnt,0&percnt,22&percnt,24.1&percnt,55.3&percnt,7.4&percnt,9.5&percnt,2.8&percnt,0.6&percnt,0.3&percnt,79.9&percnt,6.5&percnt,13.5&percnt
12,80022,"42,699",927,"14,343","$165,000",46.05,0.27,"13,380","$56,449",31,66.9&percnt,3.1&percnt,1.6&percnt,1.7&percnt,0.1&percnt,22.0&percnt,4.7&percnt,52&percnt,10&percnt,32&percnt,7&percnt,27&percnt,2&percnt,28&percnt,4&percnt,3&percnt,0&percnt,36&percnt,27.9&percnt,48.4&percnt,6.6&percnt,11.8&percnt,4.4&percnt,0.8&percnt,0.1&percnt,80.1&percnt,5.3&percnt,14.5&percnt
13,80020,"46,871","2,372","18,011","$247,400",19.76,0.27,"17,341","$77,600",37,86.2&percnt,1.0&percnt,0.7&percnt,6.0&percnt,0.1&percnt,3.1&percnt,2.9&percnt,61&percnt,12&percnt,23&percnt,4&percnt,40&percnt,2&percnt,32&percnt,4&percnt,7&percnt,0&percnt,14&percnt,6&percnt,44&percnt,9&percnt,27&percnt,11&percnt,1&percnt,2&percnt,81&percnt,13&percnt,6&percnt
14,80233,"45,386","4,986","17,642","$183,900",9.10,0.12,"16,786","$58,820",33,79.0&percnt,2.0&percnt,1.3&percnt,3.7&percnt,0.1&percnt,10.0&percnt,4.0&percnt,50&percnt,9&percnt,36&percnt,5&percnt,50&percnt,4&percnt,22&percnt,2&percnt,3&percnt,0&percnt,19&percnt,11.4&percnt,58.7&percnt,10.0&percnt,15.3&percnt,3.6&percnt,0.8&percnt,0.2&percnt,82.1&percnt,7.1&percnt,10.7&percnt
15,80538,"43,930",407,"18,394","$224,800",108.00,4.92,"17,581","$61,799",41,92.1&percnt,0.5&percnt,0.7&percnt,1.0&percnt,0.0&percnt,3.4&percnt,2.3&percnt,52&percnt,18&percnt,26&percnt,4&percnt,28&percnt,2&percnt,25&percnt,2&percnt,18&percnt,0&percnt,23&percnt,6&percnt,50&percnt,9&percnt,24&percnt,8&percnt,2&percnt,2&percnt,80.6&percnt,9.5&percnt,9.8&percnt
16,80918,"45,467","3,795","18,944","$210,500",11.98,0.00,"18,142","$61,012",35,83.7&percnt,4.4&percnt,0.9&percnt,2.5&percnt,0.2&percnt,3.6&percnt,4.7&percnt,47&percnt,12&percnt,36&percnt,4&percnt,48&percnt,3&percnt,24&percnt,2&percnt,8&percnt,0&percnt,16&percnt,5&percnt,47&percnt,12&percnt,23&percnt,11&percnt,1&percnt,1&percnt,77.3&percnt,11.8&percnt,10.9&percnt
17,80239,"40,512","4,058","11,206","$145,300",9.98,0.01,"10,485","$46,380",28,42.5&percnt,27.8&percnt,1.4&percnt,2.1&percnt,0.2&percnt,20.1&percnt,5.9&percnt,50&percnt,5&percnt,39&percnt,6&percnt,44&percnt,2&percnt,24&percnt,3&percnt,2&percnt,0&percnt,24&percnt,29.4&percnt,52.9&percnt,5.7&percnt,8.6&percnt,2.3&percnt,0.3&percnt,0.9&percnt,86.4&percnt,4.8&percnt,8.9&percnt
18,80123,"44,795","3,772","19,351","$264,000",11.88,1.63,"18,609","$72,508",40,87.3&percnt,1.3&percnt,0.9&percnt,4.3&percnt,0.1&percnt,3.6&percnt,2.5&percnt,54&percnt,15&percnt,27&percnt,4&percnt,36&percnt,3&percnt,27&percnt,5&percnt,13&percnt,0&percnt,16&percnt,3&percnt,43&percnt,8&percnt,31&percnt,10&percnt,3&percnt,1&percnt,79.3&percnt,12.4&percnt,8.3&percnt
19,80526,"44,183","1,157","18,673","$238,500",38.17,2.04,"18,007","$57,121",31,89.5&percnt,1.1&percnt,0.7&percnt,2.7&percnt,0.1&percnt,2.8&percnt,3.1&percnt,45&percnt,12&percnt,39&percnt,4&percnt,41&percnt,4&percnt,21&percnt,5&percnt,14&percnt,0&percnt,15&percnt,4&percnt,37&percnt,9&percnt,31&percnt,14&percnt,2&percnt,4&percnt,77.7&percnt,13.8&percnt,8.4&percnt
20,80127,"42,597",823,"16,325","$307,000",51.77,0.41,"15,791","$97,872",41,92.8&percnt,0.7&percnt,0.4&percnt,2.4&percnt,0.1&percnt,1.6&percnt,2.1&percnt,73&percnt,12&percnt,12&percnt,3&percnt,21&percnt,1&percnt,35&percnt,4&percnt,16&percnt,0&percnt,23&percnt,3&percnt,37&percnt,9&percnt,33&percnt,15&percnt,3&percnt,2&percnt,84.1&percnt,12.5&percnt,3.5&percnt
21,80537,"38,821",366,"16,732","$215,700",105.98,3.95,"15,741","$52,171",40,91.8&percnt,0.6&percnt,0.9&percnt,0.9&percnt,0.1&percnt,3.4&percnt,2.3&percnt,48&percnt,14&percnt,31&percnt,6&percnt,29.9&percnt,1.8&percnt,21.4&percnt,2.6&percnt,17.2&percnt,0.1&percnt,27.0&percnt,8&percnt,53&percnt,10&percnt,20&percnt,8&percnt,1&percnt,1&percnt,80.9&percnt,9.9&percnt,9.1&percnt
22,80126,"39,698","3,702","14,237","$351,000",10.72,0.01,"13,745","$112,455",37,89.0&percnt,1.3&percnt,0.5&percnt,5.2&percnt,0.0&percnt,1.5&percnt,2.6&percnt,73&percnt,8&percnt,15&percnt,3&percnt,39&percnt,3&percnt,26&percnt,5&percnt,10&percnt,0&percnt,17&percnt,2&percnt,29&percnt,6&percnt,41&percnt,18&percnt,3&percnt,2&percnt,79.7&percnt,15.9&percnt,4.4&percnt
23,80010,"39,728","7,204","14,334","$133,600",5.51,0.01,"12,767","$32,527",30,48.9&percnt,14.6&percnt,1.6&percnt,3.5&percnt,0.3&percnt,25.6&percnt,5.5&percnt,25&percnt,7&percnt,56&percnt,11&percnt,60&percnt,1&percnt,15&percnt,1&percnt,1&percnt,0&percnt,22&percnt,37.0&percnt,47.0&percnt,5.2&percnt,7.7&percnt,2.2&percnt,0.2&percnt,0.6&percnt,81.1&percnt,2.5&percnt,16.4&percnt
24,80401,"39,378",755,"16,895","$350,100",52.18,0.60,"16,016","$69,208",40,91.2&percnt,1.1&percnt,0.8&percnt,3.1&percnt,0.1&percnt,1.6&percnt,2.2&percnt,45&percnt,19&percnt,31&percnt,5&percnt,32&percnt,3&percnt,17&percnt,4&percnt,22&percnt,0&percnt,22&percnt,5&percnt,37&percnt,7&percnt,28&percnt,14&percnt,4&percnt,4&percnt,79.8&percnt,13.3&percnt,6.9&percnt
25,80221,"37,779","4,170","13,536","$164,300",9.06,0.26,"12,693","$49,621",32,68.2&percnt,1.3&percnt,2.0&percnt,2.5&percnt,0.1&percnt,21.9&percnt,3.9&percnt,44&percnt,15&percnt,35&percnt,6&percnt,46&percnt,2&percnt,25&percnt,3&percnt,3&percnt,0&percnt,21&percnt,29.5&percnt,51.3&percnt,6.4&percnt,8.9&percnt,3.2&percnt,0.3&percnt,0.3&percnt,84.1&percnt,4.2&percnt,11.7&percnt
26,80501,"39,521","3,194","16,580","$196,300",12.37,0.23,"15,715","$45,799",36,82.0&percnt,0.9&percnt,1.2&percnt,1.8&percnt,0.0&percnt,11.1&percnt,3.0&percnt,40&percnt,13&percnt,42&percnt,5&percnt,47&percnt,4&percnt,18&percnt,4&percnt,7&percnt,0&percnt,20&percnt,19&percnt,46&percnt,7&percnt,19&percnt,7&percnt,1&percnt,1&percnt,81.8&percnt,7.4&percnt,10.8&percnt
27,80916,"34,640","2,017","13,537","$142,400",17.18,0.01,"12,452","$41,131",27,57&percnt,16&percnt,1&percnt,3&percnt,1&percnt,13&percnt,8&percnt,42&percnt,9&percnt,41&percnt,8&percnt,61&percnt,3&percnt,20&percnt,1&percnt,2&percnt,0&percnt,13&percnt,13.3&percnt,59.0&percnt,13.0&percnt,10.3&percnt,4.1&percnt,0.1&percnt,0.1&percnt,77.3&percnt,5.1&percnt,17.6&percnt
28,80601,"33,833","1,263","11,612","$192,400",26.80,0.69,"10,984","$63,449",32,77.5&percnt,1.5&percnt,1.4&percnt,1.4&percnt,0.1&percnt,14.5&percnt,3.7&percnt,55&percnt,11&percnt,28&percnt,5&percnt,39.8&percnt,1.4&percnt,26.4&percnt,2.5&percnt,3.0&percnt,0.3&percnt,26.4&percnt,18.8&percnt,56.4&percnt,7.5&percnt,12.2&percnt,4.2&percnt,0.7&percnt,0.1&percnt,80.4&percnt,7.0&percnt,12.6&percnt
29,80920,"38,569","3,051","13,996","$276,400",12.64,0.00,"13,479","$90,625",36,85.6&percnt,3.2&percnt,0.7&percnt,4.2&percnt,0.2&percnt,2.2&percnt,4.1&percnt,61&percnt,9&percnt,26&percnt,4&percnt,35&percnt,2&percnt,27&percnt,4&percnt,16&percnt,0&percnt,15&percnt,1&percnt,35&percnt,11&percnt,31&percnt,18&percnt,2&percnt,2&percnt,83.6&percnt,11.9&percnt,4.4&percnt
30,80014,"36,710","5,201","18,960","$174,200",7.06,0.00,"17,459","$46,073",40,69.7&percnt,13.6&percnt,0.6&percnt,6.2&percnt,0.1&percnt,5.3&percnt,4.5&percnt,40&percnt,14&percnt,38&percnt,8&percnt,49.3&percnt,1.9&percnt,15.9&percnt,2.7&percnt,6.3&percnt,0.1&percnt,23.9&percnt,8&percnt,47&percnt,7&percnt,24&percnt,11&percnt,1&percnt,1&percnt,77.5&percnt,7.1&percnt,15.4&percnt
31,80909,"35,739","4,265","16,973","$167,000",8.38,0.00,"15,662","$38,976",38,75.5&percnt,7.0&percnt,1.4&percnt,1.6&percnt,0.3&percnt,8.8&percnt,5.5&percnt,33&percnt,14&percnt,46&percnt,8&percnt,62.6&percnt,1.5&percnt,11.3&percnt,1.4&percnt,4.3&percnt,0.1&percnt,18.8&percnt,11.0&percnt,57.7&percnt,10.8&percnt,13.8&percnt,5.2&percnt,0.8&percnt,0.8&percnt,82.2&percnt,7.2&percnt,10.6&percnt
32,80017,"34,270","5,844","13,688","$159,200",5.86,0.01,"12,962","$49,519",31,56.6&percnt,21.4&percnt,0.9&percnt,4.2&percnt,0.4&percnt,10.3&percnt,6.2&percnt,50&percnt,5&percnt,40&percnt,5&percnt,43&percnt,2&percnt,29&percnt,3&percnt,1&percnt,0&percnt,21&percnt,10.5&percnt,54.5&percnt,13.2&percnt,15.3&percnt,4.9&percnt,0.9&percnt,0.7&percnt,76.3&percnt,6.7&percnt,17.0&percnt
33,80906,"37,719",809,"16,297","$316,000",46.63,0.15,"15,065","$60,387",38,81.3&percnt,6.1&percnt,0.7&percnt,3.2&percnt,0.4&percnt,3.8&percnt,4.4&percnt,42&percnt,15&percnt,35&percnt,8&percnt,40&percnt,1&percnt,18&percnt,2&percnt,24&percnt,0&percnt,15&percnt,6&percnt,43&percnt,7&percnt,24&percnt,12&percnt,5&percnt,2&percnt,75.8&percnt,10.9&percnt,13.4&percnt
34,80210,"33,946","5,597","16,398","$395,600",6.06,0.02,"15,389","$66,788",33,90.3&percnt,1.5&percnt,0.4&percnt,3.8&percnt,0.0&percnt,1.7&percnt,2.4&percnt,40&percnt,14&percnt,40&percnt,6&percnt,40&percnt,2&percnt,22&percnt,6&percnt,8&percnt,0&percnt,22&percnt,3&percnt,25&percnt,3&percnt,37&percnt,22&percnt,6&percnt,3&percnt,63.3&percnt,28.0&percnt,8.7&percnt
35,80231,"32,127","6,813","17,134","$235,800",4.72,0.00,"16,171","$42,017",35,66.0&percnt,15.9&percnt,0.8&percnt,5.5&percnt,0.1&percnt,7.2&percnt,4.5&percnt,28&percnt,8&percnt,59&percnt,6&percnt,64.1&percnt,3.4&percnt,12.4&percnt,2.3&percnt,6.4&percnt,0.1&percnt,11.3&percnt,8&percnt,42&percnt,7&percnt,28&percnt,11&percnt,3&percnt,1&percnt,74.1&percnt,12.2&percnt,13.7&percnt
36,80521,"33,409","2,354","13,059","$232,300",14.19,0.44,"12,426","$37,942",23,88.6&percnt,1.6&percnt,0.8&percnt,2.5&percnt,0.1&percnt,3.0&percnt,3.4&percnt,28&percnt,10&percnt,57&percnt,5&percnt,41&percnt,4&percnt,16&percnt,6&percnt,10&percnt,0&percnt,22&percnt,5&percnt,37&percnt,8&percnt,31&percnt,13&percnt,3&percnt,3&percnt,78.6&percnt,12.9&percnt,8.4&percnt
37,80004,"35,892","4,870","15,158","$243,200",7.37,0.15,"14,555","$67,830",42,92.0&percnt,0.8&percnt,0.6&percnt,1.3&percnt,0.0&percnt,2.6&percnt,2.6&percnt,50&percnt,17&percnt,29&percnt,4&percnt,47&percnt,3&percnt,17&percnt,2&percnt,8&percnt,0&percnt,22&percnt,6&percnt,51&percnt,8&percnt,22&percnt,9&percnt,2&percnt,1&percnt,84.0&percnt,11.1&percnt,4.9&percnt
38,80524,"31,668",250,"13,680","$247,000",126.50,10.16,"12,985","$56,938",36,87.5&percnt,0.8&percnt,1.1&percnt,1.3&percnt,0.1&percnt,6.2&percnt,3.0&percnt,44&percnt,19&percnt,32&percnt,5&percnt,32.2&percnt,2.2&percnt,24.2&percnt,4.0&percnt,16.4&percnt,0.4&percnt,20.6&percnt,10&percnt,40&percnt,7&percnt,25&percnt,12&percnt,3&percnt,4&percnt,83.9&percnt,7.9&percnt,8.2&percnt
39,80220,"33,529","6,397","16,421","$360,200",5.24,0.00,"15,218","$62,989",36,72.1&percnt,11.7&percnt,0.8&percnt,5.6&percnt,0.1&percnt,5.9&percnt,3.8&percnt,42&percnt,11&percnt,39&percnt,7&percnt,42&percnt,1&percnt,24&percnt,3&percnt,7&percnt,0&percnt,23&percnt,7&percnt,31&percnt,5&percnt,32&percnt,14&percnt,7&percnt,4&percnt,64.0&percnt,25.9&percnt,10.1&percnt
40,80003,"35,384","5,193","14,248","$206,900",6.81,0.26,"13,672","$54,688",36,83.1&percnt,1.5&percnt,1.2&percnt,3.9&percnt,0.1&percnt,6.4&percnt,3.7&percnt,52&percnt,13&percnt,30&percnt,4&percnt,45&percnt,2&percnt,23&percnt,5&percnt,5&percnt,0&percnt,20&percnt,11.2&percnt,56.1&percnt,9.4&percnt,16.6&percnt,5.4&percnt,0.7&percnt,0.5&percnt,84.1&percnt,7.5&percnt,8.4&percnt
41,80128,"34,988","2,835","14,135","$254,100",12.34,1.53,"13,611","$79,185",40,91.7&percnt,0.8&percnt,0.6&percnt,2.0&percnt,0.1&percnt,2.2&percnt,2.7&percnt,67&percnt,13&percnt,16&percnt,4&percnt,31&percnt,1&percnt,32&percnt,6&percnt,8&percnt,0&percnt,22&percnt,4.1&percnt,45.6&percnt,8.7&percnt,27.9&percnt,11.2&percnt,1.9&percnt,0.7&percnt,80.8&percnt,9.6&percnt,9.6&percnt
42,80602,"27,665",920,"9,248","$287,600",30.08,0.55,"8,910","$95,350",34,83.4&percnt,1.5&percnt,0.6&percnt,6.6&percnt,0.1&percnt,4.5&percnt,3.4&percnt,83&percnt,6&percnt,8&percnt,4&percnt,9&percnt,1&percnt,47&percnt,9&percnt,7&percnt,0&percnt,27&percnt,4.5&percnt,47.0&percnt,9.5&percnt,27.0&percnt,10.2&percnt,1.0&percnt,0.8&percnt,75.4&percnt,10.5&percnt,14.0&percnt
43,80911,"30,596","2,539","11,126","$164,700",12.05,0.47,"10,650","$56,267",35,73.5&percnt,9.4&percnt,1.1&percnt,2.9&percnt,0.8&percnt,5.6&percnt,6.7&percnt,62&percnt,15&percnt,19&percnt,4&percnt,25&percnt,1&percnt,37&percnt,3&percnt,2&percnt,0&percnt,32&percnt,7.9&percnt,59.8&percnt,14.4&percnt,11.9&percnt,5.5&percnt,0.5&percnt,0.0&percnt,81.7&percnt,8.5&percnt,9.7&percnt
44,80031,"33,932","4,026","13,594","$225,900",8.43,0.05,"13,116","$70,536",37,80.1&percnt,1.4&percnt,0.9&percnt,6.4&percnt,0.1&percnt,7.9&percnt,3.2&percnt,55&percnt,14&percnt,28&percnt,4&percnt,31&percnt,1&percnt,27&percnt,4&percnt,7&percnt,0&percnt,29&percnt,11&percnt,45&percnt,9&percnt,23&percnt,9&percnt,2&percnt,1&percnt,80.2&percnt,9.1&percnt,10.7&percnt
45,80211,"31,583","7,025","15,615","$288,600",4.50,0.04,"14,263","$51,563",34,74.9&percnt,2.3&percnt,2.4&percnt,1.4&percnt,0.1&percnt,15.5&percnt,3.5&percnt,42&percnt,8&percnt,42&percnt,9&percnt,32&percnt,4&percnt,28&percnt,3&percnt,5&percnt,0&percnt,29&percnt,16&percnt,34&percnt,4&percnt,30&percnt,11&percnt,3&percnt,2&percnt,77.7&percnt,9.6&percnt,12.7&percnt
46,80503,"31,064",341,"13,294","$348,700",91.07,3.07,"12,575","$77,631",42,89.1&percnt,0.7&percnt,0.5&percnt,4.4&percnt,0.1&percnt,2.6&percnt,2.6&percnt,51&percnt,15&percnt,28&percnt,5&percnt,49.0&percnt,1.8&percnt,19.1&percnt,2.8&percnt,12.9&percnt,0.1&percnt,14.3&percnt,2&percnt,34&percnt,6&percnt,33&percnt,17&percnt,3&percnt,4&percnt,80.5&percnt,12.3&percnt,7.2&percnt
47,80205,"29,221","6,373","13,656","$250,100",4.58,0.05,"12,424","$49,472",32,53.3&percnt,25.6&percnt,1.5&percnt,1.2&percnt,0.1&percnt,13.4&percnt,5.0&percnt,34&percnt,6&percnt,51&percnt,9&percnt,38&percnt,1&percnt,22&percnt,3&percnt,4&percnt,0&percnt,31&percnt,18&percnt,38&percnt,4&percnt,26&percnt,10&percnt,3&percnt,1&percnt,81.6&percnt,9.1&percnt,9.3&percnt
48,80227,"33,667","4,550","15,217","$228,800",7.40,0.12,"14,478","$59,100",38,81.2&percnt,1.4&percnt,1.3&percnt,3.9&percnt,0.1&percnt,8.7&percnt,3.4&percnt,43&percnt,15&percnt,37&percnt,5&percnt,48&percnt,3&percnt,19&percnt,3&percnt,9&percnt,0&percnt,18&percnt,11&percnt,46&percnt,8&percnt,23&percnt,10&percnt,2&percnt,1&percnt,74.2&percnt,11.5&percnt,14.3&percnt
49,80260,"31,412","6,552","12,518","$82,400",4.79,0.11,"11,662","$41,185",31,69.4&percnt,1.8&percnt,1.5&percnt,3.5&percnt,0.1&percnt,19.8&percnt,3.9&percnt,35&percnt,20&percnt,39&percnt,7&percnt,60&percnt,2&percnt,22&percnt,2&percnt,3&percnt,0&percnt,11&percnt,28.2&percnt,54.7&percnt,6.7&percnt,7.5&percnt,2.7&percnt,0.2&percnt,0.0&percnt,79&percnt,5&percnt,16&percnt
50,80228,"30,138","2,735","13,797","$269,600",11.02,0.04,"13,209","$68,323",40,89.7&percnt,1.1&percnt,0.8&percnt,3.3&percnt,0.1&percnt,2.5&percnt,2.5&percnt,50&percnt,15&percnt,31&percnt,4&percnt,52&percnt,1&percnt,24&percnt,2&percnt,10&percnt,0&percnt,12&percnt,4&percnt,42&percnt,8&percnt,29&percnt,12&percnt,3&percnt,2&percnt,79.6&percnt,10.3&percnt,10.1&percnt
51,80021,"30,051","1,822","13,183","$231,900",16.49,2.34,"12,482","$71,221",34,87.5&percnt,1.2&percnt,0.8&percnt,4.6&percnt,0.1&percnt,2.6&percnt,3.1&percnt,50&percnt,7&percnt,38&percnt,5&percnt,69&percnt,2&percnt,10&percnt,2&percnt,6&percnt,0&percnt,11&percnt,5&percnt,42&percnt,10&percnt,30&percnt,10&percnt,2&percnt,1&percnt,81.5&percnt,8.6&percnt,9.9&percnt
52,80112,"29,217","1,577","12,734","$302,200",18.52,0.13,"12,120","$81,191",36,86.5&percnt,3.8&percnt,0.4&percnt,4.4&percnt,0.0&percnt,1.9&percnt,3.0&percnt,50&percnt,11&percnt,34&percnt,5&percnt,33&percnt,2&percnt,26&percnt,5&percnt,15&percnt,0&percnt,19&percnt,3&percnt,29&percnt,7&percnt,39&percnt,18&percnt,3&percnt,2&percnt,81.8&percnt,10.3&percnt,7.9&percnt
53,80204,"31,493","5,661","13,116","$172,000",5.56,0.00,"12,002","$31,611",29,61.6&percnt,6.3&percnt,3.1&percnt,2.2&percnt,0.1&percnt,22.1&percnt,4.6&percnt,25&percnt,6&percnt,61&percnt,8&percnt,51&percnt,3&percnt,15&percnt,3&percnt,9&percnt,0&percnt,19&percnt,30&percnt,41&percnt,4&percnt,17&percnt,6&percnt,2&percnt,1&percnt,77.8&percnt,6.4&percnt,15.8&percnt
54,80027,"31,034","1,598","12,648","$381,300",19.43,0.20,"12,089","$95,635",38,86.6&percnt,0.7&percnt,0.3&percnt,7.9&percnt,0.0&percnt,1.4&percnt,3.0&percnt,55&percnt,11&percnt,30&percnt,4&percnt,40.4&percnt,3.2&percnt,16.1&percnt,4.7&percnt,15.7&percnt,0.2&percnt,19.7&percnt,1&percnt,23&percnt,4&percnt,38&percnt,23&percnt,5&percnt,5&percnt,85.2&percnt,11.2&percnt,3.6&percnt
